,features,rank
73,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5374142857142857,0.6724731707317073,0.1864357575757576,0.234375,0.13461538461538464,0.16])",40
74,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5674595238095238,0.6869926829268292,0.29023575757575754,0.15625,0.15384615384615385,0.08])",42
75,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5912690476190476,0.5926829268292684,0.33138040404040403,0.203125,0.13461538461538464,0.04])",20
76,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.701297619047619,0.631190243902439,0.34441373737373737,0.421875,0.34615384615384615,0.08])",19
77,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.7182547619047618,0.7418707317073171,0.2092591919191919,0.1875,0.21153846153846156,0.28])",96
78,"(26,[0,2,4,17,18,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.024390243902439025,0.15151515151515152,0.7005391953546246,0.515625,0.2884615384615385])",55
79,"(26,[0,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8163261904761904,0.6132414634146341,0.3142856565656566,0.484375,0.15384615384615385])",37
80,"(26,[0,2,4,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.7519833333333333,0.6788609756097561,0.26851858585858585,0.53125,0.34615384615384615,0.06666666666666667])",29
81,"(26,[0,2,5,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.3333333333333333,0.12979598816972818,0.16955238095238095,0.2601634146341464,0.36700343434343435,0.01907922024056408,0.203125,0.13461538461538464,0.0013793103448275863])",5
82,"(26,[0,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8333333333333333,0.848780487804878,0.1684848484848485,0.546875,0.3653846153846154])",56
83,"(26,[0,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.9285714285714285,0.9024390243902439,0.030303030303030304,0.40625,0.2884615384615385])",116
84,"(26,[0,2,7,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.3492071428571428,0.5528463414634146,0.130639797979798,0.5,0.19230769230769232,0.04])",49
85,"(26,[0,2,12,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7539690476190476,0.6178853658536586,0.4289561616161616,0.421875,0.13461538461538464])",52
86,"(26,[0,3,18,19,20,21,23,24],[1.0,1.0,0.12979598816972818,0.6428571428571428,0.6341463414634146,0.5131313131313131,0.203125,0.21153846153846156])",73
87,"(26,[0,3,18,19,20,21,23,24],[1.0,1.0,0.12979598816972818,0.9285714285714285,0.6829268292682927,0.2787878787878788,0.5,0.23076923076923078])",110
88,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.3650785714285714,0.1544707317073171,0.10303030303030303,0.09940550255772156,0.109375,0.09615384615384616])",41
89,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5,0.024390243902439025,0.296969696969697,0.42319922577077285,0.15625,0.15384615384615385])",97
