,features,rank
1251,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8571428571428571,0.8252024390243903,0.16599333333333335,0.234375,0.13461538461538464])",52
1252,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8809523809523809,0.8850170731707317,0.0490620202020202,0.640625,0.25])",61
1253,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.9047619047619047,0.6097560975609756,0.5959595959595959,0.140625,0.11538461538461539])",70
1254,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6265666666666666,0.8934536585365853,0.06113777777777778,0.21875,0.13461538461538464,0.68])",107
1255,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.6488095238095237,0.5609756097560976,0.32727272727272727,0.203125,0.11538461538461539,0.015])",18
1256,"(26,[0,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7619047619047619,0.5365853658536586,0.397979797979798,0.1875,0.07692307692307693])",67
1257,"(26,[0,2,7,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.40476190476190477,0.43902439024390244,0.09696969696969697,0.296875,0.11538461538461539])",63
1258,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.16666666666666666,0.10975609756097561,0.2717171717171717,0.03594635697497581,0.234375,0.11538461538461539])",24
1259,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.20635,0.3089439024390244,0.2572389898989899,0.039817503110742426,0.171875,0.057692307692307696])",7
1260,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.21428571428571427,0.2845536585365854,0.2585858585858586,0.1169639153878059,0.03125,0.019230769230769232])",9
1261,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.31547619047619047,0.24390243902439024,0.25353535353535356,0.0027651043826904466,0.234375,0.21153846153846156])",14
1262,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.44047619047619047,0.2601634146341464,0.2595959595959596,0.012581224941241533,0.09375,0.038461538461538464])",8
1263,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.10869565217391304,0.047619047619047616,0.04065121951219512,0.25589232323232325,0.22922715332503799,0.3125,0.34615384615384615])",55
1264,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.2658738095238095,0.2601634146341464,0.25690242424242427,0.02903359601824969,0.078125,0.038461538461538464,0.008])",6
1265,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.20833333333333331,0.21739130434782608,0.2301595238095238,0.15853658536585366,0.2491581818181818,0.3101064565187336,0.125,0.11538461538461539,0.008])",1
1266,"(26,[1,2,3,17,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.8333333333333333,0.41463414634146345,0.26262626262626265,0.421875,0.25,0.04])",32
1267,"(26,[1,2,3,17,18,19,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.738095238095238,0.40404040404040403,0.649799529932255,0.125,0.11538461538461539])",54
1268,"(26,[1,2,3,18,19,20,21,22,23],[1.0,1.0,1.0,0.10869565217391304,0.2857142857142857,0.34146341463414637,0.21414141414141413,0.012995990598645098,0.171875])",62
1269,"(26,[1,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.047619047619047616,0.5853658536585367,0.09292929292929293,0.030001382552191345,0.1875,0.17307692307692307])",65
1270,"(26,[1,2,3,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6111119047619047,0.47154390243902444,0.25925919191919194,0.0017973178487487903,0.1875,0.21153846153846156])",16
1271,"(26,[1,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.23809523809523808,0.39430975609756097,0.2562288888888889,0.007327526614129684,0.0625,0.057692307692307696,0.01])",13
1272,"(26,[1,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.2539690476190476,0.34146341463414637,0.2572389898989899,0.025300705101617586,0.3125,0.09615384615384616,0.01])",11
1273,"(26,[1,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.30952380952380953,0.33333414634146347,0.25690242424242427,0.0017973178487487903,0.453125,0.42307692307692313,0.01])",10
1274,"(26,[1,2,3,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.4920642857142857,0.5609756097560976,0.22087535353535354,0.01894096502142956,0.0625,0.057692307692307696,0.04])",23
1275,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.6190476190476191,0.5853658536585367,0.402020202020202,0.0625])",47
1276,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.6333333333333333,0.7317073170731707,0.1612121212121212,0.078125])",35
1277,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.6904761904761905,0.6585365853658537,0.4,0.046875])",48
1278,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.6341463414634146,0.30303030303030304,0.0625])",45
1279,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.7619047619047619,0.7560975609756098,0.24646464646464647,0.046875])",51
1280,"(26,[1,2,3,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.7857142857142857,0.8048780487804879,0.21616161616161617,0.03125])",53
1281,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.14285714285714285,0.14634146341463417,0.30303030303030304,0.15625,0.15384615384615385])",56
1282,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.16666666666666666,0.2682926829268293,0.21414141414141413,0.09375,0.038461538461538464])",59
1283,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.21428571428571427,0.3170731707317073,0.30303030303030304,0.234375,0.23076923076923078])",60
1284,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.41269761904761904,0.524390243902439,0.2562288888888889,0.171875,0.019230769230769232])",20
1285,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.47619047619047616,0.6585365853658537,0.08484848484848485,0.15625,0.019230769230769232])",49
1286,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5,0.7560975609756098,0.29494949494949496,0.234375,0.019230769230769232])",50
1287,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5047619047619047,0.3951219512195122,0.2674747474747475,0.09375,0.019230769230769232])",18
1288,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5158738095238095,0.36585365853658536,0.2956228282828283,0.125,0.038461538461538464])",27
1289,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5238095238095237,0.4634146341463415,0.30303030303030304,0.078125,0.057692307692307696])",57
1290,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5238095238095237,0.4878048780487805,0.27070707070707073,0.640625,0.576923076923077])",44
1291,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5714285714285714,0.5365853658536586,0.21212121212121213,0.71875,0.15384615384615385])",46
1292,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6428571428571428,0.17073170731707318,0.21414141414141413,0.265625,0.057692307692307696])",37
1293,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7857142857142857,0.4878048780487805,0.09292929292929293,0.171875,0.019230769230769232])",63
1294,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.8095238095238095,0.6585365853658537,0.26262626262626265,0.21875,0.11538461538461539])",66
1295,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.8333333333333333,0.5365853658536586,0.2686868686868687,0.203125,0.19230769230769232])",64
1296,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.32936428571428567,0.4878048780487805,0.24242424242424243,0.140625,0.11538461538461539,0.013333333333333332])",17
1297,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.46428571428571425,0.5853658536585367,0.18787878787878787,0.140625,0.11538461538461539,0.04])",61
1298,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5158738095238095,0.5447146341463415,0.2080808080808081,0.109375,0.09615384615384616,0.04])",31
1299,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5555547619047619,0.516260975609756,0.24410767676767675,0.078125,0.038461538461538464,0.02])",19
1300,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6746023809523809,0.5203243902439025,0.2538721212121212,0.125,0.019230769230769232,0.04])",30
1301,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.47619047619047616,0.6544707317073172,0.16026929292929293,0.078125,0.16])",28
1302,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.4920642857142857,0.5365853658536586,0.2380470707070707,0.078125,0.026666666666666665])",21
1303,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.5595238095238095,0.6341463414634146,0.1484848484848485,0.03125,0.06])",26
1304,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.7142857142857142,0.6178853658536586,0.20134686868686869,0.078125,0.04])",34
1305,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.7619047619047619,0.5772365853658536,0.20134686868686869,0.328125,0.04])",33
1306,"(26,[1,2,3,18,19,20,21,24],[1.0,1.0,1.0,0.10869565217391304,0.30952380952380953,0.6097560975609756,0.24646464646464647,0.019230769230769232])",38
1307,"(26,[1,2,3,18,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.12195121951219512,0.30303030303030304,0.234375,0.25])",58
1308,"(26,[1,2,3,18,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.8536585365853658,0.00202020202020202,0.125,0.057692307692307696])",67
1309,"(26,[1,2,4,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.11956521739130435,0.13492142857142855,0.21138292682926832,0.2595959595959596,0.09138669984791926,0.34375,0.09615384615384616])",3
1310,"(26,[1,2,4,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.7619047619047619,0.4634146341463415,0.21212121212121213,0.5,0.07692307692307693,0.04])",42
1311,"(26,[1,2,10,18,19,20,21,23],[1.0,1.0,1.0,0.10869565217391304,0.8333333333333333,0.4634146341463415,0.27070707070707073,0.125])",41
1312,"(26,[1,3,18,19,20,21,23,24,25],[1.0,1.0,0.10869565217391304,0.5833333333333333,0.6138219512195122,0.18619535353535355,0.0625,0.019230769230769232,0.04])",25
1313,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.1369047619047619,0.24390243902439024,0.5005050505050505,0.0027651043826904466,0.203125,0.17307692307692307])",34
1314,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.3958333333333333,0.2774390243902439,0.5510101010101011,0.003732890916632103,0.328125,0.21153846153846156])",8
1315,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.041666666666666664,0.13043478260869565,0.20535714285714285,0.25,0.5510101010101011,0.17489285220517076,0.15625,0.15384615384615385])",1
1316,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.46428571428571425,0.34451219512195125,0.5234848484848484,0.005391953546246371,0.421875,0.42307692307692313])",16
1317,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.08333333333333333,0.17391304347826086,0.2648809523809524,0.2682926829268293,0.5502525252525252,0.01009263099682013,0.1875,0.17307692307692307])",6
1318,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.125,0.12979598816972818,0.4510571428571429,0.4634146341463415,0.5804153535353536,0.005391953546246371,0.5625,0.3653846153846154])",20
1319,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.41666666666666663,0.12979598816972818,0.21572857142857144,0.24685853658536586,0.5872054545454545,0.11364579012857737,0.421875,0.42307692307692313])",8
1320,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.7916666666666666,0.43478260869565216,0.1289690476190476,0.18157073170731708,0.5160492929292929,0.22577077284667493,0.390625,0.3076923076923077])",3
1321,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.8333333333333333,0.8369565217391304,0.15873095238095236,0.1544707317073171,0.5561729292929294,0.213604313562837,0.46875,0.40384615384615385])",5
1322,"(26,[2,3,17,18,19,20,21,22,23,24],[1.0,1.0,0.9166666666666666,0.12979598816972818,0.1408738095238095,0.1991878048780488,0.5755331313131312,0.19286603069265865,0.234375,0.25])",6
1323,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.23214285714285712,0.4573170731707317,0.5116161616161616,0.07576386008571824,0.171875,0.11538461538461539,0.02])",19
1324,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.25595238095238093,0.3048780487804878,0.5126262626262627,0.0674685469376469,0.3125,0.34615384615384615,0.006666666666666666])",10
1325,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.3346571428571428,0.4749317073170732,0.5345678787878788,0.015761094981335544,0.28125,0.23076923076923078,0.009523809523809523])",23
1326,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.34523809523809523,0.32791219512195124,0.5109428282828282,0.004147656574035669,0.234375,0.23076923076923078,0.003870967741935484])",17
1327,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.375,0.28963414634146345,0.548989898989899,0.007604037052398729,0.46875,0.40384615384615385,0.006666666666666666])",9
1328,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.375,0.42378048780487804,0.5457070707070707,0.013410756256048666,0.140625,0.13461538461538464,0.02])",17
1329,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.4080690476190476,0.5237121951219512,0.5513468686868687,0.003041614820959491,0.21875,0.13461538461538464,0.0125])",25
1330,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.41402142857142854,0.45663902439024395,0.47878787878787876,0.005668463984515415,0.28125,0.23076923076923078,0.01])",22
1331,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.4293166666666667,0.4969512195121951,0.5263258585858586,0.002212083506152357,0.515625,0.42307692307692313,0.011764705882352941])",28
1332,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.4570095238095238,0.5013560975609755,0.563748686868687,0.005806719203649937,0.5625,0.3653846153846154,0.013999999999999999])",23
1333,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5297619047619048,0.46646341463414637,0.543939393939394,0.009677865339416562,0.1875,0.17307692307692307,0.01])",22
1334,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5482809523809523,0.5311658536585366,0.47575757575757577,0.0019355730678833128,0.234375,0.11538461538461539,0.02461538461538462])",27
1335,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5555547619047619,0.559619512195122,0.5577440404040405,0.00013825521913452232,0.1875,0.17307692307692307,0.015])",28
1336,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5562166666666667,0.5379414634146341,0.5572389898989899,0.00013825521913452232,0.234375,0.11538461538461539,0.021818181818181816])",26
1337,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.5952380952380952,0.5326829268292683,0.5320404040404041,0.006359740080188027,0.390625,0.34615384615384615,0.013333333333333332])",30
1338,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.10869565217391304,0.7163261904761904,0.6648073170731708,0.5539971717171717,0.0011060417530761786,0.34375,0.2692307692307693,0.08])",34
1339,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.11956521739130435,0.38624285714285717,0.4498634146341464,0.5280583838383838,0.0020738282870178346,0.390625,0.2884615384615385,0.01])",19
1340,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.11956521739130435,0.5026452380952381,0.49390243902439024,0.5170593939393939,0.0029033596018249687,0.375,0.2884615384615385,0.016])",22
1341,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.11956521739130435,0.5866404761904761,0.5121951219512195,0.5328282828282829,0.0019355730678833128,0.203125,0.19230769230769232,0.011428571428571429])",26
1342,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.12979598816972818,0.3802904761904762,0.4884829268292683,0.5596521212121213,0.005391953546246371,0.234375,0.23076923076923078,0.005714285714285714])",21
1343,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.12979598816972818,0.38624285714285717,0.5765585365853658,0.5548260606060605,0.0011060417530761786,0.3125,0.2884615384615385,0.017142857142857144])",27
1344,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.12979598816972818,0.537697619047619,0.5677512195121951,0.552749696969697,0.00041476565740356696,0.28125,0.23076923076923078,0.008])",25
1345,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.13043478260869565,0.4060857142857142,0.3976975609756097,0.4920874747474748,0.014655053228259367,0.203125,0.15384615384615385,0.0064])",19
1346,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.14130434782608695,0.35416666666666663,0.31097560975609756,0.5275252525252525,0.06415042167841835,0.390625,0.34615384615384615,0.006666666666666666])",7
1347,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.16304347826086957,0.20238095238095238,0.3628048780487805,0.5194444444444445,0.021567814184985483,0.109375,0.09615384615384616,0.006666666666666666])",14
1348,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.16304347826086957,0.8095238095238095,0.5203243902439025,0.2659933333333333,0.003456380478363058,0.09375,0.09615384615384616,0.04])",41
1349,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.041666666666666664,0.17391304347826086,0.28869047619047616,0.5030487804878049,0.4734848484848485,0.029448361675653255,0.390625,0.3076923076923077,0.03])",21
1350,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.31084761904761904,0.35772439024390246,0.5732323232323232,0.0031798700400940136,0.4375,0.38461538461538464,0.004137931034482759])",18
1351,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.3849214285714285,0.40989268292682923,0.5621773737373738,0.004009401354901147,0.375,0.2884615384615385,0.006666666666666666])",19
1352,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.40740714285714286,0.43699268292682925,0.5498876767676767,0.0012442969722107008,0.453125,0.3653846153846154,0.008333333333333333])",20
1353,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.43254047619047614,0.38346829268292687,0.5479236363636364,0.005668463984515415,0.46875,0.38461538461538464,0.006153846153846155])",14
1354,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.45535714285714285,0.3323170731707317,0.4936868686868687,0.0013825521913452233,0.234375,0.23076923076923078,0.016])",15
1355,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.4629619047619048,0.4607048780487805,0.5757575757575758,0.004562422231439237,0.21875,0.23076923076923078,0.004])",22
1356,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.49074047619047617,0.4878048780487805,0.5476430303030303,0.00013825521913452232,0.203125,0.15384615384615385,0.006666666666666666])",24
1357,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.5343904761904762,0.5250682926829269,0.4614478787878788,0.0006912760956726117,0.4375,0.38461538461538464,0.013333333333333332])",28
1358,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.10869565217391304,0.5462952380952381,0.46951219512195125,0.5290684848484848,0.002626849163555924,0.171875,0.11538461538461539,0.01])",20
1359,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.12979598816972818,0.39947142857142853,0.3922756097560976,0.5772727272727273,0.0013825521913452233,0.390625,0.2884615384615385,0.0016])",14
1360,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.12979598816972818,0.464947619047619,0.4329268292682927,0.5464084848484848,0.0015208074104797456,0.40625,0.3269230769230769,0.005714285714285714])",16
1361,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.13043478260869565,0.25,0.3780487804878049,0.5184343434343435,0.06525646343149454,0.140625,0.15384615384615385,0.016])",12
1362,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.21726190476190474,0.34146341463414637,0.5164141414141414,0.08654776717821097,0.171875,0.09615384615384616,0.006666666666666666])",11
1363,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.28637619047619045,0.334009756097561,0.5334456565656566,0.040785289644684086,0.40625,0.3269230769230769,0.0026666666666666666])",12
1364,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.38095238095238093,0.36585365853658536,0.13656565656565656,0.03677588828978294,0.375,0.2884615384615385,0.013333333333333332])",43
1365,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.38955,0.4749317073170732,0.48063979797979794,0.004147656574035669,0.328125,0.25,0.008888888888888889])",16
1366,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.4232809523809523,0.40176097560975615,0.5608305050505051,0.0031798700400940136,0.234375,0.23076923076923078,0.005])",13
1367,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.4305547619047619,0.4620585365853659,0.4657127272727273,0.008433568367205862,0.328125,0.21153846153846156,0.00909090909090909])",15
1368,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.4484119047619048,0.44444390243902443,0.5254769696969698,0.0006912760956726117,0.109375,0.11538461538461539,0.011428571428571429])",16
1369,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.08333333333333333,0.16304347826086957,0.6011904761904762,0.6117878048780488,0.5607183838383839,0.0016590626296142678,0.203125,0.15384615384615385,0.022857142857142857])",16
1370,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.10869565217391304,0.28902142857142854,0.3902439024390244,0.5598765656565656,0.009816120558551085,0.1875,0.17307692307692307,0.004615384615384616])",16
1371,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.10869565217391304,0.44709047619047615,0.42953902439024394,0.49534222222222224,0.009677865339416562,0.203125,0.19230769230769232,0.005454545454545454])",20
1372,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.10869565217391304,0.450397619047619,0.33062439024390244,0.5628507070707072,0.002626849163555924,0.4375,0.38461538461538464,0.0014814814814814814])",15
1373,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.10869565217391304,0.4636238095238095,0.42208780487804876,0.5521325252525253,0.02129130374671644,0.21875,0.13461538461538464,0.008695652173913044])",22
1374,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.11956521739130435,0.2976190476190476,0.39905121951219513,0.5498317171717172,0.018526199364025994,0.46875,0.38461538461538464,0.006153846153846155])",18
1375,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.11956521739130435,0.4093904761904762,0.3868560975609756,0.5042086868686869,0.010507396654223696,0.21875,0.13461538461538464,0.003333333333333333])",18
1376,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.11956521739130435,0.49272380952380956,0.5264219512195123,0.4543210101010101,0.011613438407299875,0.28125,0.23076923076923078,0.016842105263157894])",24
1377,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.12979598816972818,0.3300261904761905,0.4180219512195122,0.5553311111111111,0.009263099682012997,0.390625,0.34615384615384615,0.004615384615384616])",18
1378,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.12979598816972818,0.508597619047619,0.41260243902439026,0.5607183838383839,0.00041476565740356696,0.328125,0.21153846153846156,0.002857142857142857])",17
1379,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.13043478260869565,0.3273809523809524,0.44783170731707317,0.5654321212121212,0.018249688925756947,0.28125,0.23076923076923078,0.010909090909090908])",18
1380,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.14130434782608695,0.09821428571428571,0.2682926829268293,0.5085858585858586,0.23268353380340104,0.1875,0.17307692307692307,0.005714285714285714])",2
1381,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.125,0.18478260869565216,0.4510571428571429,0.45528536585365853,0.47856343434343435,0.01009263099682013,0.1875,0.17307692307692307,0.008])",21
1382,"(26,[2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,0.16666666666666666,0.10869565217391304,0.31018571428571423,0.3631439024390244,0.5766553535353535,0.0023503387252868796,0.234375,0.23076923076923078,0.0044444444444444444])",14
